 [antenna_pattern.dat]

  É” = 0.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
   -90.000  -30.0000  -23.4842  -29.4985  -29.4985
   -89.000  -30.0000  -23.4720  -28.8956  -29.9546
   -88.000  -30.0000  -23.4347  -28.1808  -30.0000
   -87.000  -30.0000  -23.3706  -27.3909  -30.0000
   -86.000  -28.0407  -23.2770  -26.5581  -30.0000
   -85.000  -26.0899  -23.1504  -25.7075  -30.0000
   -84.000  -24.4910  -22.9871  -24.8569  -29.8750
   -83.000  -23.1341  -22.7838  -24.0181  -29.5606
   -82.000  -21.9537  -22.5376  -23.1983  -29.2201
   -81.000  -20.9075  -22.2470  -22.4019  -28.8741
   -80.000  -19.9667  -21.9119  -21.6308  -28.5368
   -79.000  -19.1108  -21.5338  -20.8858  -28.2171
   -78.000  -18.3246  -21.1157  -20.1668  -27.9204
   -77.000  -17.5967  -20.6618  -19.4731  -27.6496
   -76.000  -16.9181  -20.1774  -18.8039  -27.4059
   -75.000  -16.2820  -19.6679  -18.1581  -27.1898
   -74.000  -15.6825  -19.1391  -17.5345  -27.0008
   -73.000  -15.1152  -18.5963  -16.9320  -26.8384
   -72.000  -14.5762  -18.0445  -16.3497  -26.7015
   -71.000  -14.0624  -17.4881  -15.7863  -26.5893
   -70.000  -13.5712  -16.9309  -15.2409  -26.5008
   -69.000  -13.1003  -16.3759  -14.7126  -26.4350
   -68.000  -12.6478  -15.8257  -14.2006  -26.3911
   -67.000  -12.2121  -15.2823  -13.7040  -26.3681
   -66.000  -11.7919  -14.7473  -13.2222  -26.3654
   -65.000  -11.3858  -14.2220  -12.7544  -26.3823
   -64.000  -10.9928  -13.7072  -12.3000  -26.4181
   -63.000  -10.6121  -13.2035  -11.8585  -26.4724
   -62.000  -10.2427  -12.7114  -11.4293  -26.5445
   -61.000   -9.8840  -12.2311  -11.0119  -26.6343
   -60.000   -9.5354  -11.7628  -10.6059  -26.7411
   -59.000   -9.1962  -11.3065  -10.2109  -26.8650
   -58.000   -8.8661  -10.8622   -9.8265  -27.0055
   -57.000   -8.5446  -10.4297   -9.4523  -27.1625
   -56.000   -8.2313  -10.0089   -9.0880  -27.3360
   -55.000   -7.9259   -9.5997   -8.7332  -27.5258
   -54.000   -7.6281   -9.2017   -8.3879  -27.7320
   -53.000   -7.3375   -8.8150   -8.0515  -27.9546
   -52.000   -7.0540   -8.4391   -7.7240  -28.1937
   -51.000   -6.7774   -8.0738   -7.4050  -28.4495
   -50.000   -6.5074   -7.7190   -7.0945  -28.7221
   -49.000   -6.2438   -7.3744   -6.7921  -29.0118
   -48.000   -5.9867   -7.0398   -6.4976  -29.3190
   -47.000   -5.7357   -6.7150   -6.2111  -29.6439
