 [antenna_pattern.dat]

  É” = 90.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
    15.000   -7.2613   -0.0719   -7.5934   -0.0008
    16.000   -7.2099   -0.1005   -7.6761   -0.0049
    17.000   -7.1589   -0.1339   -7.7668   -0.0125
    18.000   -7.1085   -0.1721   -7.8654   -0.0234
    19.000   -7.0587   -0.2152   -7.9722   -0.0377
    20.000   -7.0095   -0.2631   -8.0872   -0.0555
    21.000   -6.9609   -0.3158   -8.2103   -0.0766
    22.000   -6.9131   -0.3734   -8.3418   -0.1012
    23.000   -6.8661   -0.4359   -8.4816   -0.1292
    24.000   -6.8199   -0.5034   -8.6298   -0.1606
    25.000   -6.7745   -0.5757   -8.7865   -0.1954
    26.000   -6.7301   -0.6530   -8.9516   -0.2337
    27.000   -6.6865   -0.7353   -9.1253   -0.2753
    28.000   -6.6439   -0.8225   -9.3076   -0.3204
    29.000   -6.6023   -0.9148   -9.4984   -0.3688
    30.000   -6.5617   -1.0122   -9.6976   -0.4207
    31.000   -6.5220   -1.1146   -9.9053   -0.4758
    32.000   -6.4834   -1.2221  -10.1212   -0.5344
    33.000   -6.4458   -1.3347  -10.3451   -0.5963
    34.000   -6.4092   -1.4524  -10.5768   -0.6615
    35.000   -6.3736   -1.5754  -10.8159   -0.7300
    36.000   -6.3391   -1.7035  -11.0619   -0.8018
    37.000   -6.3056   -1.8368  -11.3141   -0.8769
    38.000   -6.2730   -1.9754  -11.5717   -0.9552
    39.000   -6.2415   -2.1193  -11.8336   -1.0367
    40.000   -6.2110   -2.2684  -12.0985   -1.1213
    41.000   -6.1814   -2.4229  -12.3649   -1.2091
    42.000   -6.1527   -2.5827  -12.6309   -1.3000
    43.000   -6.1250   -2.7479  -12.8941   -1.3940
    44.000   -6.0981   -2.9184  -13.1520   -1.4909
    45.000   -6.0720   -3.0943  -13.4014   -1.5908
    46.000   -6.0468   -3.2757  -13.6391   -1.6937
    47.000   -6.0224   -3.4624  -13.8611   -1.7994
    48.000   -5.9986   -3.6546  -14.0635   -1.9078
    49.000   -5.9756   -3.8523  -14.2423   -2.0191
    50.000   -5.9532   -4.0554  -14.3935   -2.1329
    51.000   -5.9315   -4.2639  -14.5134   -2.2494
    52.000   -5.9102   -4.4778  -14.5989   -2.3684
    53.000   -5.8895   -4.6972  -14.6479   -2.4899
    54.000   -5.8692   -4.9219  -14.6592   -2.6136
    55.000   -5.8493   -5.1520  -14.6325   -2.7397
    56.000   -5.8298   -5.3874  -14.5689   -2.8678
    57.000   -5.8105   -5.6281  -14.4704   -2.9981
    58.000   -5.7915   -5.8741  -14.3401   -3.1303
    59.000   -5.7726   -6.1251  -14.1813   -3.2642
    60.000   -5.7539   -6.3813  -13.9979   -3.3999
    61.000   -5.7352   -6.6424  -13.7941   -3.5372
    62.000   -5.7165   -6.9084  -13.5738   -3.6758
    63.000   -5.6978   -7.1792  -13.3407   -3.8158
    64.000   -5.6789   -7.4545  -13.0983   -3.9568
    65.000   -5.6599   -7.7344  -12.8496   -4.0988
    66.000   -5.6407   -8.0185  -12.5974   -4.2416
    67.000   -5.6211   -8.3067  -12.3438   -4.3849
    68.000   -5.6012   -8.5988  -12.0909   -4.5287
    69.000   -5.5809   -8.8946  -11.8401   -4.6726
    70.000   -5.5602   -9.1938  -11.5929   -4.8165
    71.000   -5.5390   -9.4961  -11.3502   -4.9601
    72.000   -5.5172   -9.8014  -11.1128   -5.1033
    73.000   -5.4948  -10.1093  -10.8813   -5.2457
    74.000   -5.4717  -10.4195  -10.6563   -5.3871
    75.000   -5.4480  -10.7319  -10.4381   -5.5272
    76.000   -5.4235  -11.0459  -10.2269   -5.6658
    77.000   -5.3982  -11.3615  -10.0229   -5.8025
    78.000   -5.3721  -11.6784   -9.8262   -5.9371
    79.000   -5.3452  -11.9963   -9.6367   -6.0692
    80.000   -5.3173  -12.3150   -9.4545   -6.1985
    81.000   -5.2885  -12.6344   -9.2795   -6.3247
    82.000   -5.2588  -12.9545   -9.1117   -6.4474
    83.000   -5.2281  -13.2751   -8.9508   -6.5664
    84.000   -5.1963  -13.5965   -8.7969   -6.6811
    85.000   -5.1635  -13.9188   -8.6497   -6.7914
    86.000   -5.1296  -14.2423   -8.5091   -6.8967
    87.000   -5.0946  -14.5674   -8.3749   -6.9968
    88.000   -5.0585  -14.8946   -8.2469   -7.0914
    89.000   -5.0213  -15.2247   -8.1251   -7.1799
    90.000   -4.9829  -15.5586   -8.0092   -7.2622




