 [antenna_field.dat]

  É” = 90.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
 -51.000  -0.20815  -0.18281   0.27703  -138.708   -1.9128   **  -0.18165   0.10181   0.20824   150.731   -4.3920   **    0.0325  -289.4384 
 -50.000  -0.20742  -0.17953   0.27432  -139.123   -1.9980   **  -0.18824   0.10944   0.21774   149.827   -4.0046   **    0.1239  -288.9498 
 -49.000  -0.20674  -0.17629   0.27170  -139.545   -2.0814   **  -0.19482   0.11715   0.22733   148.981   -3.6302   **    0.2232  -288.5254 
 -48.000  -0.20612  -0.17311   0.26917  -139.974   -2.1627   **  -0.20139   0.12494   0.23700   148.185   -3.2682   **    0.3299  -288.1590 
 -47.000  -0.20554  -0.16999   0.26673  -140.409   -2.2419   **  -0.20796   0.13281   0.24675   147.436   -2.9180   **    0.4435  -287.8451 
 -46.000  -0.20502  -0.16691   0.26438  -140.850   -2.3188   **  -0.21451   0.14075   0.25657   146.728   -2.5792   **    0.5632  -287.5788 
 -45.000  -0.20456  -0.16390   0.26212  -141.297   -2.3933   **  -0.22104   0.14876   0.26644   146.059   -2.2513   **    0.6886  -287.3558 
 -44.000  -0.20414  -0.16094   0.25995  -141.748   -2.4653   **  -0.22755   0.15683   0.27636   145.424   -1.9337   **    0.8189  -287.1719 
 -43.000  -0.20378  -0.15805   0.25788  -142.203   -2.5347   **  -0.23402   0.16496   0.28632   144.820   -1.6262   **    0.9536  -287.0236 
 -42.000  -0.20347  -0.15521   0.25591  -142.662   -2.6015   **  -0.24047   0.17314   0.29631   144.246   -1.3282   **    1.0920  -286.9076 
 -41.000  -0.20321  -0.15245   0.25403  -143.123   -2.6654   **  -0.24688   0.18136   0.30633   143.698   -1.0394   **    1.2336  -286.8207 
 -40.000  -0.20300  -0.14975   0.25226  -143.585   -2.7264   **  -0.25324   0.18962   0.31637   143.175   -0.7594   **    1.3778  -286.7602 
 -39.000  -0.20284  -0.14711   0.25058  -144.048   -2.7845   **  -0.25956   0.19791   0.32641   142.675   -0.4881   **    1.5241  -286.7233 
 -38.000  -0.20274  -0.14455   0.24899  -144.512   -2.8394   **  -0.26583   0.20623   0.33644   142.196   -0.2250   **    1.6719  -286.7077 
 -37.000  -0.20269  -0.14206   0.24751  -144.974   -2.8912   **  -0.27204   0.21456   0.34647   141.737    0.0301   **    1.8209  -286.7108 
 -36.000  -0.20269  -0.13964   0.24613  -145.435   -2.9398   **  -0.27819   0.22291   0.35648   141.296    0.2775   **    1.9705  -286.7306 
 -35.000  -0.20274  -0.13730   0.24485  -145.893   -2.9851   **  -0.28428   0.23125   0.36646   140.872    0.5173   **    2.1203  -286.7650 
 -34.000  -0.20284  -0.13504   0.24367  -146.347   -3.0270   **  -0.29030   0.23960   0.37640   140.465    0.7498   **    2.2700  -286.8118 
 -33.000  -0.20299  -0.13285   0.24259  -146.796   -3.0656   **  -0.29624   0.24793   0.38630   140.073    0.9753   **    2.4191  -286.8694 
 -32.000  -0.20319  -0.13074   0.24162  -147.240   -3.1007   **  -0.30211   0.25624   0.39615   139.696    1.1939   **    2.5674  -286.9358 
 -31.000  -0.20343  -0.12872   0.24074  -147.677   -3.1324   **  -0.30790   0.26453   0.40592   139.332    1.4057   **    2.7145  -287.0094 
 -30.000  -0.20373  -0.12678   0.23996  -148.107   -3.1606   **  -0.31360   0.27278   0.41563   138.982    1.6110   **    2.8603  -287.0886 
 -29.000  -0.20408  -0.12492   0.23927  -148.528   -3.1853   **  -0.31921   0.28098   0.42526   138.644    1.8098   **    3.0043  -287.1718 
 -28.000  -0.20447  -0.12315   0.23869  -148.940   -3.2065   **  -0.32472   0.28914   0.43479   138.318    2.0024   **    3.1464  -287.2577 
 -27.000  -0.20491  -0.12146   0.23820  -149.342   -3.2243   **  -0.33014   0.29723   0.44422   138.003    2.1888   **    3.2864  -287.3448 
 -26.000  -0.20539  -0.11987   0.23781  -149.732   -3.2386   **  -0.33546   0.30525   0.45355   137.700    2.3692   **    3.4241  -287.4319 
 -25.000  -0.20592  -0.11836   0.23751  -150.111   -3.2495   **  -0.34067   0.31319   0.46275   137.407    2.5437   **    3.5593  -287.5179 
 -24.000  -0.20650  -0.11694   0.23731  -150.478   -3.2569   **  -0.34577   0.32104   0.47183   137.124    2.7124   **    3.6918  -287.6016 
 -23.000  -0.20712  -0.11561   0.23720  -150.831   -3.2611   **  -0.35075   0.32880   0.48076   136.851    2.8754   **    3.8216  -287.6820 
 -22.000  -0.20778  -0.11436   0.23717  -151.171   -3.2620   **  -0.35563   0.33644   0.48956   136.588    3.0328   **    3.9484  -287.7583 
 -21.000  -0.20848  -0.11321   0.23724  -151.496   -3.2596   **  -0.36038   0.34398   0.49819   136.334    3.1847   **    4.0723  -287.8296 
 -20.000  -0.20922  -0.11215   0.23739  -151.806   -3.2541   **  -0.36500   0.35139   0.50666   136.089    3.3310   **    4.1930  -287.8953 
 -19.000  -0.21000  -0.11118   0.23762  -152.102   -3.2455   **  -0.36950   0.35866   0.51495   135.853    3.4721   **    4.3104  -287.9545 
 -18.000  -0.21082  -0.11031   0.23794  -152.381   -3.2340   **  -0.37387   0.36580   0.52306   135.626    3.6078   **    4.4246  -288.0070 
 -17.000  -0.21168  -0.10952   0.23833  -152.645   -3.2195   **  -0.37811   0.37278   0.53097   135.407    3.7382   **    4.5354  -288.0520 
 -16.000  -0.21258  -0.10882   0.23881  -152.892   -3.2022   **  -0.38221   0.37959   0.53868   135.197    3.8634   **    4.6427  -288.0894 
 -15.000  -0.21351  -0.10821   0.23936  -153.124   -3.1822   **  -0.38618   0.38624   0.54618   134.995    3.9836   **    4.7465  -288.1188 
 -14.000  -0.21447  -0.10769   0.23998  -153.338   -3.1596   **  -0.39000   0.39271   0.55346   134.802    4.0986   **    4.8468  -288.1401 
 -13.000  -0.21546  -0.10725   0.24068  -153.537   -3.1344   **  -0.39368   0.39899   0.56052   134.616    4.2085   **    4.9434  -288.1530 
 -12.000  -0.21649  -0.10690   0.24144  -153.719   -3.1069   **  -0.39721   0.40508   0.56733   134.438    4.3135   **    5.0364  -288.1576 
 -11.000  -0.21754  -0.10664   0.24227  -153.885   -3.0771   **  -0.40060   0.41095   0.57390   134.269    4.4135   **    5.1257  -288.1540 
 -10.000  -0.21862  -0.10646   0.24317  -154.035   -3.0451   **  -0.40383   0.41662   0.58021   134.107    4.5085   **    5.2113  -288.1422 
  -9.000  -0.21973  -0.10637   0.24412  -154.169   -3.0110   **  -0.40691   0.42206   0.58627   133.953    4.5987   **    5.2931  -288.1225 
  -8.000  -0.22087  -0.10635   0.24514  -154.288   -2.9750   **  -0.40984   0.42727   0.59205   133.807    4.6840   **    5.3712  -288.0950 
  -7.000  -0.22202  -0.10642   0.24621  -154.392   -2.9371   **  -0.41261   0.43224   0.59756   133.668    4.7644   **    5.4454  -288.0601 
  -6.000  -0.22320  -0.10656   0.24734  -154.480   -2.8975   **  -0.41522   0.43697   0.60278   133.538    4.8400   **    5.5158  -288.0182 
  -5.000  -0.22441  -0.10677   0.24851  -154.555   -2.8563   **  -0.41767   0.44144   0.60772   133.415    4.9108   **    5.5823  -287.9697 
  -4.000  -0.22562  -0.10706   0.24974  -154.615   -2.8136   **  -0.41996   0.44566   0.61235   133.300    4.9768   **    5.6450  -287.9150 
  -3.000  -0.22686  -0.10742   0.25101  -154.662   -2.7694   **  -0.42209   0.44960   0.61669   133.192    5.0381   **    5.7038  -287.8547 
  -2.000  -0.22811  -0.10785   0.25232  -154.696   -2.7241   **  -0.42406   0.45327   0.62071   133.093    5.0946   **    5.7587  -287.7894 
  -1.000  -0.22938  -0.10834   0.25368  -154.718   -2.6775   **  -0.42586   0.45666   0.62442   133.001    5.1463   **    5.8098  -287.7195 
   0.000  -0.23066  -0.10889   0.25507  -154.729   -2.6299   **  -0.42750   0.45977   0.62781   132.917    5.1933   **    5.8569  -287.6459 
   1.000  -0.23195  -0.10951   0.25650  -154.728   -2.5813   **  -0.42897   0.46258   0.63087   132.841    5.2356   **    5.9000  -287.5690 
   2.000  -0.23326  -0.11018   0.25797  -154.716   -2.5319   **  -0.43028   0.46510   0.63361   132.773    5.2732   **    5.9393  -287.4896 
   3.000  -0.23457  -0.11090   0.25946  -154.695   -2.4818   **  -0.43142   0.46731   0.63601   132.713    5.3060   **    5.9746  -287.4084 
   4.000  -0.23588  -0.11168   0.26098  -154.665   -2.4310   **  -0.43240   0.46922   0.63807   132.661    5.3342   **    6.0060  -287.3261 
   5.000  -0.23720  -0.11250   0.26253  -154.626   -2.3797   **  -0.43321   0.47082   0.63980   132.618    5.3576   **    6.0334  -287.2434 
   6.000  -0.23853  -0.11337   0.26410  -154.579   -2.3279   **  -0.43385   0.47211   0.64118   132.582    5.3763   **    6.0569  -287.1610 
   7.000  -0.23986  -0.11428   0.26569  -154.525   -2.2758   **  -0.43433   0.47307   0.64221   132.555    5.3904   **    6.0765  -287.0798 
