 [antenna_field.dat]

  É” = 90.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
 -50.000   0.17711   0.07239   0.19133    22.232    1.7017   **  -0.06403   0.11634   0.13280   118.828   -1.4700   **    3.4095   -96.5956 
 -49.000   0.18139   0.07414   0.19596    22.231    1.9094   **  -0.06584   0.12159   0.13827   118.437   -1.1194   **    3.6641   -96.2058 
 -48.000   0.18565   0.07588   0.20056    22.230    2.1109   **  -0.06766   0.12687   0.14379   118.073   -0.7796   **    3.9121   -95.8425 
 -47.000   0.18988   0.07760   0.20513    22.229    2.3064   **  -0.06949   0.13219   0.14934   117.732   -0.4504   **    4.1535   -95.5034 
 -46.000   0.19408   0.07931   0.20966    22.228    2.4963   **  -0.07133   0.13753   0.15493   117.414   -0.1315   **    4.3885   -95.1865 
 -45.000   0.19824   0.08101   0.21416    22.226    2.6806   **  -0.07317   0.14289   0.16054   117.116    0.1775   **    4.6172   -94.8899 
 -44.000   0.20237   0.08269   0.21861    22.225    2.8595   **  -0.07501   0.14827   0.16616   116.837    0.4767   **    4.8398   -94.6120 
 -43.000   0.20646   0.08435   0.22302    22.223    3.0331   **  -0.07686   0.15365   0.17180   116.575    0.7665   **    5.0563   -94.3513 
 -42.000   0.21050   0.08600   0.22739    22.222    3.2015   **  -0.07870   0.15904   0.17744   116.328    1.0471   **    5.2669   -94.1065 
 -41.000   0.21450   0.08762   0.23171    22.220    3.3650   **  -0.08053   0.16441   0.18308   116.096    1.3187   **    5.4716   -93.8762 
 -40.000   0.21846   0.08923   0.23598    22.218    3.5235   **  -0.08236   0.16978   0.18870   115.878    1.5816   **    5.6705   -93.6594 
 -39.000   0.22236   0.09082   0.24019    22.216    3.6772   **  -0.08418   0.17513   0.19431   115.671    1.8359   **    5.8637   -93.4552 
 -38.000   0.22621   0.09238   0.24435    22.214    3.8262   **  -0.08598   0.18045   0.19989   115.477    2.0819   **    6.0514   -93.2625 
 -37.000   0.23001   0.09392   0.24844    22.212    3.9706   **  -0.08777   0.18575   0.20544   115.293    2.3198   **    6.2334   -93.0806 
 -36.000   0.23374   0.09544   0.25248    22.210    4.1104   **  -0.08955   0.19100   0.21095   115.119    2.5496   **    6.4101   -92.9087 
 -35.000   0.23742   0.09693   0.25644    22.208    4.2457   **  -0.09130   0.19621   0.21641   114.954    2.7717   **    6.5813   -92.7461 
 -34.000   0.24103   0.09839   0.26033    22.206    4.3767   **  -0.09304   0.20137   0.22182   114.798    2.9862   **    6.7471   -92.5921 
 -33.000   0.24457   0.09982   0.26416    22.203    4.5032   **  -0.09475   0.20647   0.22717   114.649    3.1931   **    6.9077   -92.4463 
 -32.000   0.24804   0.10123   0.26790    22.201    4.6255   **  -0.09643   0.21151   0.23245   114.509    3.3928   **    7.0630   -92.3079 
 -31.000   0.25144   0.10260   0.27157    22.198    4.7436   **  -0.09808   0.21648   0.23766   114.375    3.5852   **    7.2132   -92.1767 
 -30.000   0.25476   0.10394   0.27515    22.195    4.8575   **  -0.09971   0.22137   0.24279   114.247    3.7706   **    7.3582   -92.0520 
 -29.000   0.25801   0.10525   0.27865    22.193    4.9672   **  -0.10130   0.22618   0.24783   114.126    3.9490   **    7.4981   -91.9335 
 -28.000   0.26117   0.10653   0.28206    22.190    5.0728   **  -0.10285   0.23090   0.25277   114.010    4.1206   **    7.6330   -91.8208 
 -27.000   0.26425   0.10776   0.28538    22.187    5.1744   **  -0.10437   0.23552   0.25761   113.900    4.2854   **    7.7629   -91.7136 
 -26.000   0.26724   0.10897   0.28860    22.184    5.2719   **  -0.10585   0.24005   0.26235   113.795    4.4437   **    7.8878   -91.6115 
 -25.000   0.27014   0.11013   0.29172    22.180    5.3654   **  -0.10729   0.24447   0.26697   113.694    4.5954   **    8.0078   -91.5142 
 -24.000   0.27294   0.11126   0.29475    22.177    5.4550   **  -0.10868   0.24877   0.27148   113.598    4.7407   **    8.1228   -91.4214 
 -23.000   0.27565   0.11234   0.29767    22.174    5.5407   **  -0.11003   0.25296   0.27586   113.506    4.8797   **    8.2330   -91.3329 
 -22.000   0.27827   0.11339   0.30048    22.170    5.6224   **  -0.11133   0.25703   0.28010   113.418    5.0124   **    8.3384   -91.2484 
 -21.000   0.28078   0.11439   0.30319    22.166    5.7002   **  -0.11257   0.26097   0.28421   113.334    5.1389   **    8.4389   -91.1677 
 -20.000   0.28319   0.11535   0.30578    22.163    5.7742   **  -0.11377   0.26477   0.28818   113.253    5.2593   **    8.5347   -91.0906 
 -19.000   0.28549   0.11627   0.30826    22.159    5.8444   **  -0.11492   0.26844   0.29200   113.176    5.3737   **    8.6257   -91.0168 
 -18.000   0.28769   0.11714   0.31062    22.155    5.9107   **  -0.11601   0.27196   0.29567   113.101    5.4821   **    8.7120   -90.9463 
 -17.000   0.28977   0.11797   0.31287    22.151    5.9732   **  -0.11704   0.27533   0.29918   113.030    5.5846   **    8.7935   -90.8788 
 -16.000   0.29175   0.11874   0.31499    22.147    6.0319   **  -0.11802   0.27856   0.30253   112.961    5.6813   **    8.8704   -90.8142 
 -15.000   0.29361   0.11948   0.31699    22.142    6.0868   **  -0.11893   0.28162   0.30571   112.895    5.7721   **    8.9426   -90.7523 
 -14.000   0.29535   0.12016   0.31886    22.138    6.1380   **  -0.11979   0.28453   0.30872   112.831    5.8572   **    9.0102   -90.6929 
 -13.000   0.29698   0.12079   0.32061    22.134    6.1854   **  -0.12058   0.28727   0.31155   112.770    5.9366   **    9.0731   -90.6360 
 -12.000   0.29849   0.12138   0.32222    22.129    6.2291   **  -0.12131   0.28984   0.31421   112.710    6.0103   **    9.1314   -90.5814 
 -11.000   0.29987   0.12191   0.32371    22.124    6.2691   **  -0.12197   0.29225   0.31668   112.653    6.0784   **    9.1851   -90.5290 
 -10.000   0.30114   0.12240   0.32506    22.120    6.3053   **  -0.12257   0.29448   0.31896   112.598    6.1409   **    9.2342   -90.4786 
  -9.000   0.30228   0.12283   0.32628    22.115    6.3378   **  -0.12310   0.29653   0.32106   112.545    6.1978   **    9.2787   -90.4303 
  -8.000   0.30329   0.12321   0.32736    22.110    6.3666   **  -0.12356   0.29840   0.32297   112.493    6.2492   **    9.3186   -90.3838 
  -7.000   0.30418   0.12354   0.32831    22.104    6.3917   **  -0.12395   0.30009   0.32468   112.444    6.2952   **    9.3540   -90.3391 
  -6.000   0.30494   0.12382   0.32912    22.099    6.4131   **  -0.12428   0.30159   0.32620   112.395    6.3356   **    9.3848   -90.2960 
  -5.000   0.30558   0.12404   0.32979    22.094    6.4308   **  -0.12453   0.30291   0.32751   112.348    6.3706   **    9.4111   -90.2546 
  -4.000   0.30608   0.12421   0.33032    22.088    6.4448   **  -0.12472   0.30405   0.32863   112.303    6.4002   **    9.4329   -90.2147 
  -3.000   0.30646   0.12433   0.33072    22.083    6.4552   **  -0.12483   0.30499   0.32955   112.259    6.4243   **    9.4501   -90.1762 
  -2.000   0.30670   0.12440   0.33097    22.077    6.4619   **  -0.12487   0.30574   0.33026   112.216    6.4431   **    9.4628   -90.1391 
  -1.000   0.30682   0.12441   0.33109    22.071    6.4648   **  -0.12484   0.30630   0.33077   112.175    6.4565   **    9.4710   -90.1033 
   0.000   0.30681   0.12437   0.33106    22.065    6.4641   **  -0.12474   0.30667   0.33107   112.134    6.4645   **    9.4746   -90.0686 
   1.000   0.30667   0.12427   0.33089    22.059    6.4598   **  -0.12457   0.30685   0.33117   112.095    6.4671   **    9.4737   -90.0352 
   2.000   0.30640   0.12413   0.33059    22.053    6.4517   **  -0.12432   0.30684   0.33107   112.056    6.4643   **    9.4683   -90.0028 
   3.000   0.30600   0.12392   0.33014    22.047    6.4400   **  -0.12400   0.30663   0.33076   112.019    6.4562   **    9.4584   -89.9715 
   4.000   0.30547   0.12367   0.32955    22.041    6.4246   **  -0.12362   0.30624   0.33025   111.982    6.4428   **    9.4440   -89.9411 
   5.000   0.30481   0.12337   0.32883    22.034    6.4055   **  -0.12316   0.30565   0.32953   111.946    6.4240   **    9.4250   -89.9117 
   6.000   0.30403   0.12301   0.32797    22.028    6.3827   **  -0.12263   0.30488   0.32861   111.911    6.3998   **    9.4015   -89.8831 
   7.000   0.30312   0.12260   0.32697    22.021    6.3562   **  -0.12203   0.30391   0.32750   111.877    6.3702   **    9.3735   -89.8553 
   8.000   0.30208   0.12214   0.32584    22.015    6.3261   **  -0.12136   0.30276   0.32618   111.843    6.3352   **    9.3410   -89.8282 
   9.000   0.30092   0.12163   0.32457    22.008    6.2922   **  -0.12062   0.30143   0.32467   111.810    6.2949   **    9.3038   -89.8019 
  10.000   0.29964   0.12107   0.32317    22.001    6.2547   **  -0.11982   0.29992   0.32296   111.777    6.2491   **    9.2622   -89.7762 
  11.000   0.29823   0.12046   0.32164    21.994    6.2134   **  -0.11895   0.29822   0.32107   111.745    6.1979   **    9.2160   -89.7510 
  12.000   0.29671   0.11980   0.31998    21.987    6.1684   **  -0.11801   0.29635   0.31898   111.713    6.1413   **    9.1652   -89.7265 
  13.000   0.29506   0.11909   0.31819    21.980    6.1197   **  -0.11701   0.29430   0.31671   111.682    6.0792   **    9.1098   -89.7024 
  14.000   0.29330   0.11834   0.31627    21.972    6.0673   **  -0.11594   0.29208   0.31425   111.651    6.0116   **    9.0498   -89.6787 
  15.000   0.29143   0.11754   0.31424    21.965    6.0111   **  -0.11482   0.28969   0.31162   111.621    5.9385   **    8.9852   -89.6555 
  16.000   0.28944   0.11669   0.31207    21.958    5.9512   **  -0.11363   0.28714   0.30881   111.590    5.8598   **    8.9160   -89.6326 
  17.000   0.28734   0.11580   0.30979    21.950    5.8875   **  -0.11238   0.28443   0.30583   111.560    5.7755   **    8.8422   -89.6100 
  18.000   0.28513   0.11487   0.30740    21.942    5.8200   **  -0.11108   0.28156   0.30268   111.530    5.6857   **    8.7637   -89.5876 
  19.000   0.28281   0.11389   0.30488    21.935    5.7487   **  -0.10972   0.27854   0.29937   111.500    5.5902   **    8.6805   -89.5654 
  20.000   0.28040   0.11287   0.30226    21.927    5.6736   **  -0.10831   0.27537   0.29590   111.470    5.4890   **    8.5926   -89.5434 
  21.000   0.27787   0.11181   0.29953    21.919    5.5947   **  -0.10684   0.27206   0.29228   111.441    5.3821   **    8.5000   -89.5214 
  22.000   0.27525   0.11071   0.29669    21.911    5.5120   **  -0.10532   0.26860   0.28851   111.411    5.2693   **    8.4027   -89.4995 
  23.000   0.27254   0.10958   0.29374    21.903    5.4253   **  -0.10376   0.26502   0.28460   111.381    5.1508   **    8.3005   -89.4776 
  24.000   0.26973   0.10840   0.29070    21.895    5.3348   **  -0.10214   0.26130   0.28055   111.351    5.0264   **    8.1936   -89.4556 
  25.000   0.26683   0.10719   0.28755    21.887    5.2404   **  -0.10049   0.25746   0.27638   111.320    4.8960   **    8.0819   -89.4334 
  26.000   0.26384   0.10595   0.28431    21.879    5.1420   **  -0.09879   0.25350   0.27207   111.290    4.7596   **    7.9653   -89.4111 
  27.000   0.26076   0.10467   0.28098    21.870    5.0396   **  -0.09704   0.24943   0.26765   111.259    4.6172   **    7.8439   -89.3885 
  28.000   0.25760   0.10336   0.27756    21.862    4.9333   **  -0.09526   0.24526   0.26311   111.228    4.4687   **    7.7175   -89.3656 
  29.000   0.25436   0.10202   0.27406    21.854    4.8229   **  -0.09345   0.24098   0.25846   111.196    4.3139   **    7.5861   -89.3423 
  30.000   0.25105   0.10064   0.27047    21.845    4.7084   **  -0.09160   0.23660   0.25371   111.164    4.1529   **    7.4498   -89.3185 
