 [antenna_field.dat]

  É” = 0.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
 -50.000  -0.05885   0.02384   0.06349   157.947  -15.6868   **  -0.12722  -0.40697   0.42639  -107.359    0.8549   **    0.9502   265.3060 
 -49.000  -0.06023   0.02529   0.06532   157.223  -15.4400   **  -0.14342  -0.41513   0.43920  -109.059    1.1120   **    1.2070   266.2824 
 -48.000  -0.06159   0.02677   0.06716   156.506  -15.1994   **  -0.15964  -0.42323   0.45234  -110.666    1.3680   **    1.4627   267.1723 
 -47.000  -0.06293   0.02829   0.06900   155.795  -14.9649   **  -0.17587  -0.43128   0.46577  -112.185    1.6220   **    1.7163   267.9802 
 -46.000  -0.06425   0.02983   0.07083   155.091  -14.7365   **  -0.19209  -0.43926   0.47943  -113.620    1.8731   **    1.9669   268.7109 
 -45.000  -0.06554   0.03141   0.07267   154.393  -14.5139   **  -0.20828  -0.44716   0.49329  -114.976    2.1207   **    2.2139   269.3690 
 -44.000  -0.06680   0.03301   0.07451   153.703  -14.2972   **  -0.22442  -0.45496   0.50730  -116.256    2.3639   **    2.4566   269.9595 
 -43.000  -0.06803   0.03463   0.07634   153.021  -14.0862   **  -0.24049  -0.46265   0.52142  -117.466    2.6024   **    2.6945   270.4869 
 -42.000  -0.06924   0.03628   0.07817   152.346  -13.8809   **  -0.25647  -0.47022   0.53561  -118.609    2.8357   **    2.9272   270.9557 
 -41.000  -0.07041   0.03794   0.07998   151.680  -13.6812   **  -0.27234  -0.47766   0.54984  -119.690    3.0634   **    3.1544   271.3701 
 -40.000  -0.07155   0.03963   0.08179   151.021  -13.4871   **  -0.28809  -0.48495   0.56407  -120.713    3.2853   **    3.3757   271.7344 
 -39.000  -0.07266   0.04132   0.08359   150.371  -13.2985   **  -0.30370  -0.49209   0.57827  -121.681    3.5012   **    3.5910   272.0522 
 -38.000  -0.07373   0.04303   0.08537   149.729  -13.1153   **  -0.31915  -0.49907   0.59239  -122.598    3.7109   **    3.8001   272.3273 
 -37.000  -0.07476   0.04475   0.08713   149.095  -12.9376   **  -0.33443  -0.50588   0.60643  -123.468    3.9142   **    4.0030   272.5628 
 -36.000  -0.07576   0.04648   0.08888   148.469  -12.7652   **  -0.34951  -0.51250   0.62033  -124.293    4.1111   **    4.1994   272.7621 
 -35.000  -0.07671   0.04821   0.09061   147.852  -12.5981   **  -0.36438  -0.51892   0.63408  -125.076    4.3015   **    4.3893   272.9279 
 -34.000  -0.07763   0.04995   0.09231   147.242  -12.4363   **  -0.37904  -0.52515   0.64765  -125.821    4.4855   **    4.5728   273.0630 
 -33.000  -0.07850   0.05168   0.09399   146.641  -12.2797   **  -0.39346  -0.53116   0.66101  -126.529    4.6629   **    4.7498   273.1698 
 -32.000  -0.07934   0.05342   0.09564   146.047  -12.1283   **  -0.40762  -0.53696   0.67415  -127.203    4.8338   **    4.9203   273.2505 
 -31.000  -0.08012   0.05515   0.09727   145.461  -11.9820   **  -0.42152  -0.54252   0.68703  -127.846    4.9982   **    5.0844   273.3073 
 -30.000  -0.08087   0.05687   0.09886   144.883  -11.8408   **  -0.43515  -0.54786   0.69964  -128.459    5.1562   **    5.2421   273.3421 
