 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
   120   0.00248425  -0.00286246   0.00379014       -49.05
   121   0.00228005  -0.00300362   0.00377099       -52.80



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1  -0.00298688   0.00211085   0.00365748       144.75
     2  -0.00347898   0.00188269   0.00395573       151.58
     3  -0.00145077  -0.00128617   0.00193881      -138.44
     4  -0.00175697  -0.00149334   0.00230587      -139.64
     5  -0.00202780  -0.00169664   0.00264397      -140.08
     6  -0.00226685  -0.00189613   0.00295532      -140.09
     7  -0.00246769  -0.00208502   0.00323061      -139.80
     8  -0.00262793  -0.00225939   0.00346567      -139.31
     9  -0.00274551  -0.00241564   0.00365693      -138.66
    10  -0.00281908  -0.00255071   0.00380175      -137.86
    11  -0.00284776  -0.00266197   0.00389818      -136.93
    12  -0.00283118  -0.00274718   0.00394494      -135.86
    13  -0.00276939  -0.00280448   0.00394140      -134.64
    14  -0.00266286  -0.00283239   0.00388758      -133.23
    15  -0.00251244  -0.00282980   0.00378419      -131.60
    16  -0.00231930  -0.00279591   0.00363266      -129.68
    17  -0.00208486  -0.00273024   0.00343524      -127.37
    18  -0.00181067  -0.00263259   0.00319516      -124.52
    19  -0.00149843  -0.00250305   0.00291729      -120.91
    20  -0.00114887  -0.00234138   0.00260806      -116.14
    21  -0.00076639  -0.00214997   0.00228248      -109.62
    22  -0.00033280  -0.00191738   0.00194604       -99.85
    23   0.00030905  -0.00155905   0.00158939       -78.79
    24   0.00099933  -0.00116153   0.00153226       -49.29
    25   0.00167156  -0.00073699   0.00182682       -23.79
    26   0.00226050  -0.00030211   0.00228060        -7.61
    27   0.00263228   0.00001661   0.00263233         0.36
    28   0.00292767   0.00032046   0.00294516         6.25
    29   0.00316728   0.00062028   0.00322745        11.08
    30   0.00334787   0.00091191   0.00346984        15.24
    31   0.00347037   0.00119361   0.00366990        18.98
    32   0.00353495   0.00146293   0.00382571        22.48
    33   0.00354222   0.00171742   0.00393661        25.87
    34   0.00349310   0.00195466   0.00400280        29.23
    35   0.00338892   0.00217231   0.00402538        32.66
    36   0.00323149   0.00236818   0.00400634        36.24
    37   0.00302302   0.00254030   0.00394865        40.04
    38   0.00276621   0.00268698   0.00385639        44.17
    39   0.00246410   0.00280676   0.00373493        48.72
    40   0.00212008   0.00289852   0.00359112        53.82
    41   0.00173776   0.00296140   0.00343362        59.60
    42   0.00132078   0.00299477   0.00327309        66.20
    43   0.00087273   0.00299816   0.00312260        73.77
    44   0.00039533   0.00297048   0.00299667        82.42
    45  -0.00010537   0.00291203   0.00291394        92.07
    46  -0.00065770   0.00280996   0.00288591       103.17
    47  -0.00143891   0.00262572   0.00299414       118.72
    48  -0.00224259   0.00238911   0.00327675       133.19
    49   0.00298688  -0.00211085   0.00365748       -35.25
    50   0.00347898  -0.00188269   0.00395573       -28.42
    51   0.00145077   0.00128617   0.00193881        41.56
    52   0.00175697   0.00149334   0.00230587        40.36
    53   0.00202780   0.00169664   0.00264397        39.92
    54   0.00226685   0.00189613   0.00295532        39.91
    55   0.00246769   0.00208502   0.00323061        40.20
    56   0.00262793   0.00225939   0.00346567        40.69
    57   0.00274551   0.00241564   0.00365693        41.34
    58   0.00281908   0.00255071   0.00380175        42.14
    59   0.00284776   0.00266197   0.00389818        43.07
    60   0.00283118   0.00274718   0.00394494        44.14
    61   0.00276939   0.00280448   0.00394140        45.36
    62   0.00266286   0.00283239   0.00388758        46.77
    63   0.00251244   0.00282980   0.00378419        48.40
    64   0.00231930   0.00279591   0.00363266        50.32
    65   0.00208486   0.00273024   0.00343524        52.63
    66   0.00181067   0.00263259   0.00319516        55.48
    67   0.00149843   0.00250305   0.00291729        59.09
    68   0.00114887   0.00234138   0.00260806        63.86
    69   0.00076639   0.00214997   0.00228248        70.38
    70   0.00033280   0.00191738   0.00194604        80.15
    71  -0.00030905   0.00155905   0.00158939       101.21
    72  -0.00099933   0.00116153   0.00153226       130.71
    73  -0.00167156   0.00073699   0.00182682       156.21
    74  -0.00226050   0.00030211   0.00228060       172.39
    75  -0.00263228  -0.00001661   0.00263233      -179.64
    76  -0.00292767  -0.00032046   0.00294516      -173.75
    77  -0.00316728  -0.00062028   0.00322745      -168.92
    78  -0.00334787  -0.00091191   0.00346984      -164.76
    79  -0.00347037  -0.00119361   0.00366990      -161.02
    80  -0.00353495  -0.00146293   0.00382571      -157.52
    81  -0.00354222  -0.00171742   0.00393661      -154.13
    82  -0.00349310  -0.00195466   0.00400280      -150.77
    83  -0.00338892  -0.00217231   0.00402538      -147.34
    84  -0.00323149  -0.00236818   0.00400634      -143.76
    85  -0.00302302  -0.00254030   0.00394865      -139.96
    86  -0.00276621  -0.00268698   0.00385639      -135.83
    87  -0.00246410  -0.00280676   0.00373493      -131.28
    88  -0.00212008  -0.00289852   0.00359112      -126.18
    89  -0.00173776  -0.00296140   0.00343362      -120.40
    90  -0.00132078  -0.00299477   0.00327309      -113.80
    91  -0.00087273  -0.00299816   0.00312260      -106.23
    92  -0.00039534  -0.00297048   0.00299667       -97.58
    93   0.00010537  -0.00291203   0.00291394       -87.93
    94   0.00065770  -0.00280996   0.00288591       -76.83
    95   0.00143891  -0.00262572   0.00299414       -61.28
    96   0.00224259  -0.00238911   0.00327675       -46.81
    97   0.00228873  -0.00301675   0.00378669       -52.81
    98   0.00249415  -0.00287674   0.00380742       -49.07
    99   0.00283379  -0.00259298   0.00384108       -42.46
   100   0.00317272  -0.00224967   0.00388937       -35.34
   101   0.00350989  -0.00184595   0.00396571       -27.74
   102   0.00382925  -0.00139047   0.00407389       -19.96
   103   0.00412191  -0.00088739   0.00421635       -12.15
   104   0.00438041  -0.00034011   0.00439359        -4.44
   105   0.00459909   0.00025276   0.00460603         3.15
   106   0.00477352   0.00088498   0.00485486        10.50
   107   0.00490041   0.00162447   0.00516265        18.34
   108   0.00497746   0.00222963   0.00545402        24.13
   109   0.00500329   0.00438825   0.00665504        41.25
   110   0.00497746   0.00222963   0.00545402        24.13
   111   0.00490041   0.00162447   0.00516265        18.34
   112   0.00477352   0.00088498   0.00485486        10.50
   113   0.00459909   0.00025276   0.00460603         3.15
   114   0.00438041  -0.00034011   0.00439359        -4.44
   115   0.00412191  -0.00088739   0.00421635       -12.15
   116   0.00382925  -0.00139047   0.00407389       -19.96
   117   0.00350989  -0.00184595   0.00396571       -27.74
   118   0.00317272  -0.00224967   0.00388937       -35.34
   119   0.00283379  -0.00259298   0.00384108       -42.46
   120   0.00249415  -0.00287674   0.00380742       -49.07
   121   0.00228873  -0.00301675   0.00378669       -52.81



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1  -0.00300812   0.00214285   0.00369332       144.54
     2  -0.00350308   0.00191792   0.00399374       151.30
     3  -0.00146788  -0.00126284   0.00193634      -139.29
     4  -0.00177574  -0.00146857   0.00230433      -140.41
     5  -0.00204795  -0.00167087   0.00264308      -140.79
     6  -0.00228812  -0.00186977   0.00295491      -140.75
     7  -0.00248977  -0.00205848   0.00323052      -140.42
     8  -0.00265049  -0.00223309   0.00346580      -139.89
     9  -0.00276822  -0.00238997   0.00365719      -139.19
    10  -0.00284160  -0.00252605   0.00380205      -138.36
    11  -0.00286975  -0.00263869   0.00389848      -137.40
    12  -0.00285230  -0.00272560   0.00394519      -136.30
    13  -0.00278932  -0.00278493   0.00394159      -135.05
    14  -0.00268129  -0.00281515   0.00388772      -133.60
    15  -0.00252907  -0.00281512   0.00378433      -131.94
    16  -0.00233386  -0.00278402   0.00363286      -129.97
    17  -0.00209711  -0.00272136   0.00343564      -127.62
    18  -0.00182038  -0.00262687   0.00319597      -124.72
    19  -0.00150542  -0.00250065   0.00291883      -121.05
    20  -0.00115297  -0.00234243   0.00261081      -116.21
    21  -0.00076746  -0.00215457   0.00228718      -109.61
    22  -0.00033063  -0.00192577   0.00195394       -99.74
    23   0.00031579  -0.00157276   0.00160415       -78.65
    24   0.00101071  -0.00118067   0.00155419       -49.43
    25   0.00168736  -0.00076106   0.00185106       -24.28
    26   0.00228020  -0.00033012   0.00230397        -8.24
    27   0.00265441  -0.00001362   0.00265445        -0.29
    28   0.00295168   0.00028874   0.00296577         5.59
    29   0.00319274   0.00058766   0.00324638        10.43
    30   0.00337432   0.00087895   0.00348692        14.60
    31   0.00349735   0.00116087   0.00368498        18.36
    32   0.00356201   0.00143093   0.00383869        21.89
    33   0.00356892   0.00168667   0.00394741        25.30
    34   0.00351900   0.00192563   0.00401141        28.69
    35   0.00341361   0.00214543   0.00403182        32.15
    36   0.00325456   0.00234385   0.00401071        35.76
    37   0.00304412   0.00251890   0.00395114        39.61
    38   0.00278500   0.00266880   0.00385729        43.78
    39   0.00248028   0.00279210   0.00373465        48.38
    40   0.00213340   0.00288761   0.00359022        53.54
    41   0.00174800   0.00295443   0.00343281        59.39
