 [antenna_chara1.dat]

 >>---------PARA ---------<< ** >>------- Impedance -------- ------<< ** >>------ Max-Direction Gain(dB) ----<< ** >>---- 0(deg)-Gain(dB) ----<<
         para1         para2 **    Zin.re    Zin.im  VSWR-50  VSWR-75 **    Angle       EƒÆ       EƒÓ   EƒÆ+EƒÓ **       EƒÆ       EƒÓ   EƒÆ+EƒÓ
      0.488449      0.046245 **    132.49   -117.44    4.905    3.429 **   30.000     7.570    -7.217     7.712 **    -9.792   -16.109    -8.881
      0.488449      0.046245 **    133.19   -116.68    4.878    3.408 **   30.000     7.557    -7.090     7.704 **    -9.795   -16.068    -8.875
      0.488449      0.046245 **    133.91   -115.94    4.853    3.389 **   30.000     7.544    -6.960     7.696 **    -9.798   -16.026    -8.869
      0.488449      0.046245 **    134.64   -115.23    4.830    3.371 **   30.000     7.531    -6.827     7.687 **    -9.801   -15.983    -8.864
      0.488449      0.046245 **    135.38   -114.55    4.808    3.353 **   30.000     7.518    -6.691     7.679 **    -9.805   -15.938    -8.858
      0.488449      0.046245 **    136.13   -113.90    4.787    3.337 **   30.000     7.504    -6.553     7.672 **    -9.809   -15.893    -8.853
      0.488449      0.046245 **    136.90   -113.28    4.768    3.322 **   30.000     7.491    -6.412     7.664 **    -9.814   -15.847    -8.847
      0.488449      0.046245 **    137.67   -112.69    4.751    3.308 **   30.000     7.477    -6.269     7.656 **    -9.819   -15.799    -8.842
      0.488449      0.046245 **    138.45   -112.14    4.735    3.295 **   30.000     7.463    -6.122     7.649 **    -9.825   -15.751    -8.837
      0.488449      0.046245 **    139.25   -111.61    4.721    3.284 **   30.000     7.449    -5.973     7.642 **    -9.831   -15.702    -8.832
      0.488449      0.046245 **    140.05   -111.12    4.709    3.273 **   30.000     7.434    -5.821     7.635 **    -9.839   -15.652    -8.827
      0.488449      0.046245 **    140.86   -110.67    4.698    3.264 **   30.000     7.420    -5.666     7.628 **    -9.846   -15.602    -8.823
      0.488449      0.046245 **    141.68   -110.26    4.689    3.255 **   30.000     7.405    -5.508     7.622 **    -9.855   -15.550    -8.819
      0.488449      0.046245 **    142.50   -109.88    4.682    3.248 **   30.000     7.391    -5.347     7.616 **    -9.864   -15.498    -8.815
      0.488449      0.046245 **    143.34   -109.55    4.676    3.242 **   30.000     7.376    -5.183     7.610 **    -9.873   -15.445    -8.811
      0.488449      0.046245 **    144.17   -109.25    4.672    3.238 **   30.000     7.361    -5.016     7.605 **    -9.884   -15.392    -8.807
      0.488449      0.046245 **    145.01   -109.00    4.670    3.234 **   30.000     7.345    -4.846     7.600 **    -9.895   -15.338    -8.804
      0.488449      0.046245 **    145.85   -108.80    4.669    3.232 **   30.000     7.330    -4.673     7.595 **    -9.908   -15.283    -8.802
      0.488449      0.046245 **    146.69   -108.64    4.670    3.230 **   30.000     7.314    -4.496     7.591 **    -9.921   -15.228    -8.799
      0.488449      0.046245 **    147.52   -108.53    4.672    3.230 **   30.000     7.298    -4.316     7.587 **    -9.934   -15.173    -8.797
      0.488449      0.046245 **    148.36   -108.48    4.677    3.232 **   30.000     7.281    -4.133     7.584 **    -9.949   -15.117    -8.796
      0.488449      0.046245 **    149.18   -108.47    4.683    3.234 **   30.000     7.265    -3.946     7.582 **    -9.965   -15.060    -8.794
      0.488449      0.046245 **    150.00   -108.52    4.691    3.238 **   30.000     7.248    -3.756     7.579 **    -9.982   -15.004    -8.794
      0.488449      0.046245 **    150.81   -108.63    4.700    3.243 **   30.000     7.230    -3.562     7.578 **   -10.000   -14.947    -8.794
      0.488449      0.046245 **    151.60   -108.80    4.711    3.250 **   30.000     7.213    -3.364     7.577 **   -10.019   -14.889    -8.794
      0.488449      0.046245 **    152.38   -109.04    4.724    3.257 **   30.000     7.195    -3.162     7.577 **   -10.039   -14.832    -8.795
      0.488449      0.046245 **    153.13   -109.33    4.739    3.266 **   30.000     7.176    -2.957     7.578 **   -10.060   -14.774    -8.796
      0.488449      0.046245 **    153.86   -109.70    4.756    3.277 **   30.000     7.157    -2.747     7.580 **   -10.083   -14.717    -8.799
      0.488449      0.046245 **    154.55   -110.13    4.775    3.288 **   30.000     7.137    -2.533     7.582 **   -10.107   -14.659    -8.802
      0.488449      0.046245 **    155.21   -110.64    4.795    3.301 **   30.000     7.117    -2.314     7.586 **   -10.132   -14.601    -8.805
      0.488449      0.046245 **    155.82   -111.21    4.817    3.316 **   30.000     7.096    -2.091     7.590 **   -10.159   -14.544    -8.810
      0.488449      0.046245 **    156.39   -111.87    4.841    3.332 **   30.000     7.074    -1.864     7.596 **   -10.187   -14.487    -8.815
      0.488449      0.046245 **    156.89   -112.60    4.867    3.349 **   30.000     7.051    -1.631     7.603 **   -10.217   -14.430    -8.821
      0.488449      0.046245 **    157.33   -113.42    4.895    3.368 **   30.000     7.028    -1.394     7.611 **   -10.248   -14.373    -8.828
      0.488449      0.046245 **    157.70   -114.31    4.925    3.388 **   30.000     7.003    -1.151     7.621 **   -10.281   -14.318    -8.836
      0.488449      0.046245 **    157.97   -115.29    4.957    3.410 **   30.000     6.977    -0.903     7.633 **   -10.316   -14.262    -8.846
      0.488449      0.046245 **    158.15   -116.34    4.990    3.433 **   30.000     6.950    -0.650     7.646 **   -10.354   -14.208    -8.856
      0.488449      0.046245 **    158.22   -117.48    5.026    3.457 **   30.000     6.921    -0.391     7.661 **   -10.393   -14.155    -8.868
