 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
   120   0.00089322   0.00172821   0.00194539        62.67
   121   0.00075478   0.00146869   0.00165128        62.80
   122   0.00060626   0.00119156   0.00133692        63.03
   123   0.00044986   0.00090016   0.00100631        63.45
   124   0.00028788   0.00059806   0.00066374        64.30
   125   0.00012269   0.00028894   0.00031391        66.99
   126  -0.00004331  -0.00002338   0.00004922       208.36
   127  -0.00020770  -0.00033504   0.00039420       238.20
   128  -0.00036808  -0.00064218   0.00074019       240.18
   129  -0.00052212  -0.00094095   0.00107610       240.97
   130  -0.00066753  -0.00122761   0.00139737       241.46
   131  -0.00080217  -0.00149855   0.00169975       241.84
   132  -0.00092399  -0.00175034   0.00197925       242.17
   133  -0.00103111  -0.00197974   0.00223217       242.49
   134  -0.00112183  -0.00218380   0.00245509       242.81
   135  -0.00119462  -0.00235982   0.00264497       243.15
   136  -0.00124819  -0.00250544   0.00279915       243.52
   137  -0.00128143  -0.00261863   0.00291535       243.93
   138  -0.00129347  -0.00269770   0.00299176       244.38
   139  -0.00128365  -0.00274133   0.00302698       244.91
   140  -0.00125153  -0.00274857   0.00302009       245.52
   141  -0.00119688  -0.00271880   0.00297059       246.24
   142  -0.00111964  -0.00265177   0.00287845       247.11
   143  -0.00101988  -0.00254750   0.00274407       248.18
   144  -0.00089784  -0.00240635   0.00256839       249.54
   145  -0.00075346  -0.00222844   0.00235237       251.32
   146  -0.00058816  -0.00201619   0.00210023       253.74
   147  -0.00039471  -0.00176003   0.00180375       257.36
   148  -0.00016069  -0.00144746   0.00145635       -96.33
   149   0.00007614  -0.00112685   0.00112942       -86.13
   150   0.00034530  -0.00076342   0.00083788       -65.66
   151   0.00061101  -0.00038930   0.00072449       -32.50
   152   0.00083700  -0.00003892   0.00083790        -2.66
   153   0.00105344   0.00032254   0.00110172        17.02
   154   0.00122349   0.00064118   0.00138132        27.66
   155   0.00135695   0.00093273   0.00164661        34.50
   156   0.00146184   0.00120635   0.00189533        39.53
   157   0.00153719   0.00145836   0.00211890        43.49
