 [antenna_chara2.dat]

 >>------------------PARA ---------------<< ** >>------- Impedance -------- ------<< ** >>-------    Max Direction Gain&AR(dB) -----<< ** >>------  0(deg) Gain&AR(dB)  -----<<
         para1         para2          para3          para4          para5          para6          para7  **    Zin.re    Zin.im  VSWR-50  VSWR-75 **      Angle        Er        El       Er+El      AR **         Er         El        Er+El       AR
      0.488449      0.046245      0.250000      0.094677      0.930000      2.030416      0.442204 **    123.56   -131.67    5.500    3.867 **   30.000     5.938     3.349     7.844  16.598 **   -10.059   -15.433    -8.952  10.461
      0.488449      0.046245      0.250000      0.094677      0.931000      2.030416      0.442204 **    124.06   -130.58    5.450    3.830 **   30.000     5.941     3.319     7.835  16.491 **   -10.057   -15.426    -8.949  10.469
      0.488449      0.046245      0.250000      0.094677      0.932000      2.030416      0.442204 **    124.57   -129.50    5.400    3.795 **   30.000     5.944     3.288     7.826  16.382 **   -10.055   -15.419    -8.946  10.476
      0.488449      0.046245      0.250000      0.094677      0.933000      2.030416      0.442204 **    125.09   -128.45    5.353    3.760 **   30.000     5.947     3.257     7.817  16.271 **   -10.052   -15.412    -8.942  10.483
      0.488449      0.046245      0.250000      0.094677      0.934000      2.030416      0.442204 **    125.63   -127.41    5.306    3.727 **   30.000     5.950     3.225     7.808  16.159 **   -10.049   -15.405    -8.938  10.489
      0.488449      0.046245      0.250000      0.094677      0.935000      2.030416      0.442204 **    126.18   -126.40    5.262    3.694 **   30.000     5.954     3.192     7.800  16.045 **   -10.045   -15.398    -8.934  10.495
      0.488449      0.046245      0.250000      0.094677      0.936000      2.030416      0.442204 **    126.75   -125.40    5.219    3.663 **   30.000     5.958     3.159     7.791  15.929 **   -10.041   -15.391    -8.929  10.500
      0.488449      0.046245      0.250000      0.094677      0.937000      2.030416      0.442204 **    127.33   -124.43    5.178    3.633 **   30.000     5.963     3.124     7.782  15.812 **   -10.037   -15.384    -8.925  10.504
      0.488449      0.046245      0.250000      0.094677      0.938000      2.030416      0.442204 **    127.93   -123.47    5.138    3.603 **   30.000     5.968     3.089     7.773  15.692 **   -10.033   -15.377    -8.920  10.508
      0.488449      0.046245      0.250000      0.094677      0.939000      2.030416      0.442204 **    128.54   -122.54    5.100    3.575 **   30.000     5.973     3.053     7.764  15.571 **   -10.028   -15.370    -8.914  10.511
      0.488449      0.046245      0.250000      0.094677      0.940000      2.030416      0.442204 **    129.16   -121.63    5.064    3.548 **   30.000     5.978     3.016     7.755  15.448 **   -10.023   -15.363    -8.909  10.513
      0.488449      0.046245      0.250000      0.094677      0.941000      2.030416      0.442204 **    129.80   -120.75    5.029    3.522 **   30.000     5.984     2.978     7.747  15.323 **   -10.018   -15.357    -8.904  10.515
      0.488449      0.046245      0.250000      0.094677      0.942000      2.030416      0.442204 **    130.45   -119.88    4.996    3.497 **   30.000     5.991     2.939     7.738  15.197 **   -10.012   -15.351    -8.898  10.515
      0.488449      0.046245      0.250000      0.094677      0.943000      2.030416      0.442204 **    131.12   -119.04    4.964    3.473 **   30.000     5.997     2.900     7.729  15.068 **   -10.006   -15.346    -8.892  10.515
      0.488449      0.046245      0.250000      0.094677      0.944000      2.030416      0.442204 **    131.80   -118.23    4.934    3.451 **   30.000     6.004     2.859     7.721  14.937 **   -10.000   -15.341    -8.887  10.513
      0.488449      0.046245      0.250000      0.094677      0.945000      2.030416      0.442204 **    132.49   -117.44    4.905    3.429 **   30.000     6.012     2.817     7.712  14.804 **    -9.994   -15.336    -8.881  10.511
      0.488449      0.046245      0.250000      0.094677      0.946000      2.030416      0.442204 **    133.19   -116.68    4.878    3.408 **   30.000     6.020     2.774     7.704  14.669 **    -9.988   -15.333    -8.875  10.507
      0.488449      0.046245      0.250000      0.094677      0.947000      2.030416      0.442204 **    133.91   -115.94    4.853    3.389 **   30.000     6.029     2.729     7.696  14.532 **    -9.982   -15.329    -8.869  10.502
      0.488449      0.046245      0.250000      0.094677      0.948000      2.030416      0.442204 **    134.64   -115.23    4.830    3.371 **   30.000     6.038     2.684     7.687  14.392 **    -9.975   -15.327    -8.864  10.496
      0.488449      0.046245      0.250000      0.094677      0.949000      2.030416      0.442204 **    135.38   -114.55    4.808    3.353 **   30.000     6.048     2.637     7.679  14.250 **    -9.968   -15.325    -8.858  10.489
      0.488449      0.046245      0.250000      0.094677      0.950000      2.030416      0.442204 **    136.13   -113.90    4.787    3.337 **   30.000     6.058     2.589     7.672  14.106 **    -9.962   -15.324    -8.853  10.480
      0.488449      0.046245      0.250000      0.094677      0.951000      2.030416      0.442204 **    136.90   -113.28    4.768    3.322 **   30.000     6.069     2.539     7.664  13.959 **    -9.955   -15.323    -8.847  10.471
      0.488449      0.046245      0.250000      0.094677      0.952000      2.030416      0.442204 **    137.67   -112.69    4.751    3.308 **   30.000     6.081     2.488     7.656  13.810 **    -9.948   -15.324    -8.842  10.459
      0.488449      0.046245      0.250000      0.094677      0.953000      2.030416      0.442204 **    138.45   -112.14    4.735    3.295 **   30.000     6.094     2.435     7.649  13.658 **    -9.941   -15.325    -8.837  10.447
      0.488449      0.046245      0.250000      0.094677      0.954000      2.030416      0.442204 **    139.25   -111.61    4.721    3.284 **   30.000     6.107     2.381     7.642  13.504 **    -9.934   -15.327    -8.832  10.433
      0.488449      0.046245      0.250000      0.094677      0.955000      2.030416      0.442204 **    140.05   -111.12    4.709    3.273 **   30.000     6.121     2.324     7.635  13.347 **    -9.927   -15.331    -8.827  10.417
      0.488449      0.046245      0.250000      0.094677      0.956000      2.030416      0.442204 **    140.86   -110.67    4.698    3.264 **   30.000     6.135     2.266     7.628  13.187 **    -9.920   -15.335    -8.823  10.400
      0.488449      0.046245      0.250000      0.094677      0.957000      2.030416      0.442204 **    141.68   -110.26    4.689    3.255 **   30.000     6.151     2.206     7.622  13.024 **    -9.913   -15.341    -8.819  10.381
      0.488449      0.046245      0.250000      0.094677      0.958000      2.030416      0.442204 **    142.50   -109.88    4.682    3.248 **   30.000     6.167     2.144     7.616  12.858 **    -9.906   -15.347    -8.815  10.360
      0.488449      0.046245      0.250000      0.094677      0.959000      2.030416      0.442204 **    143.34   -109.55    4.676    3.242 **   30.000     6.185     2.079     7.610  12.688 **    -9.899   -15.355    -8.811  10.338
      0.488449      0.046245      0.250000      0.094677      0.960000      2.030416      0.442204 **    144.17   -109.25    4.672    3.238 **   30.000     6.203     2.012     7.605  12.516 **    -9.892   -15.364    -8.807  10.314
      0.488449      0.046245      0.250000      0.094677      0.961000      2.030416      0.442204 **    145.01   -109.00    4.670    3.234 **   30.000     6.223     1.942     7.600  12.340 **    -9.885   -15.375    -8.804  10.288
      0.488449      0.046245      0.250000      0.094677      0.962000      2.030416      0.442204 **    145.85   -108.80    4.669    3.232 **   30.000     6.243     1.870     7.595  12.161 **    -9.878   -15.387    -8.802  10.261
      0.488449      0.046245      0.250000      0.094677      0.963000      2.030416      0.442204 **    146.69   -108.64    4.670    3.230 **   30.000     6.265     1.794     7.591  11.979 **    -9.871   -15.400    -8.799  10.231
      0.488449      0.046245      0.250000      0.094677      0.964000      2.030416      0.442204 **    147.52   -108.53    4.672    3.230 **   30.000     6.287     1.715     7.587  11.792 **    -9.865   -15.415    -8.797  10.199
      0.488449      0.046245      0.250000      0.094677      0.965000      2.030416      0.442204 **    148.36   -108.48    4.677    3.232 **   30.000     6.311     1.633     7.584  11.602 **    -9.858   -15.431    -8.796  10.165
      0.488449      0.046245      0.250000      0.094677      0.966000      2.030416      0.442204 **    149.18   -108.47    4.683    3.234 **   30.000     6.337     1.547     7.582  11.408 **    -9.851   -15.450    -8.794  10.129
      0.488449      0.046245      0.250000      0.094677      0.967000      2.030416      0.442204 **    150.00   -108.52    4.691    3.238 **   30.000     6.363     1.458     7.579  11.209 **    -9.845   -15.470    -8.794  10.091
      0.488449      0.046245      0.250000      0.094677      0.968000      2.030416      0.442204 **    150.81   -108.63    4.700    3.243 **   30.000     6.392     1.363     7.578  11.006 **    -9.839   -15.492    -8.794  10.050
      0.488449      0.046245      0.250000      0.094677      0.969000      2.030416      0.442204 **    151.60   -108.80    4.711    3.250 **   30.000     6.421     1.264     7.577  10.799 **    -9.833   -15.516    -8.794  10.007
      0.488449      0.046245      0.250000      0.094677      0.970000      2.030416      0.442204 **    152.38   -109.04    4.724    3.257 **   30.000     6.452     1.160     7.577  10.587 **    -9.827   -15.542    -8.795   9.961
      0.488449      0.046245      0.250000      0.094677      0.971000      2.030416      0.442204 **    153.13   -109.33    4.739    3.266 **   30.000     6.485     1.051     7.578  10.370 **    -9.821   -15.571    -8.796   9.913
      0.488449      0.046245      0.250000      0.094677      0.972000      2.030416      0.442204 **    153.86   -109.70    4.756    3.277 **   30.000     6.520     0.935     7.580  10.148 **    -9.816   -15.602    -8.799   9.862
      0.488449      0.046245      0.250000      0.094677      0.973000      2.030416      0.442204 **    154.55   -110.13    4.775    3.288 **   30.000     6.556     0.812     7.582   9.921 **    -9.810   -15.636    -8.802   9.808
      0.488449      0.046245      0.250000      0.094677      0.974000      2.030416      0.442204 **    155.21   -110.64    4.795    3.301 **   30.000     6.595     0.682     7.586   9.688 **    -9.805   -15.672    -8.805   9.750
      0.488449      0.046245      0.250000      0.094677      0.975000      2.030416      0.442204 **    155.82   -111.21    4.817    3.316 **   30.000     6.635     0.544     7.590   9.449 **    -9.801   -15.712    -8.810   9.690
      0.488449      0.046245      0.250000      0.094677      0.976000      2.030416      0.442204 **    156.39   -111.87    4.841    3.332 **   30.000     6.678     0.397     7.596   9.204 **    -9.796   -15.755    -8.815   9.626
      0.488449      0.046245      0.250000      0.094677      0.977000      2.030416      0.442204 **    156.89   -112.60    4.867    3.349 **   30.000     6.722     0.240     7.603   8.953 **    -9.792   -15.801    -8.821   9.558
      0.488449      0.046245      0.250000      0.094677      0.978000      2.030416      0.442204 **    157.33   -113.42    4.895    3.368 **   30.000     6.770     0.072     7.611   8.695 **    -9.789   -15.852    -8.828   9.486
      0.488449      0.046245      0.250000      0.094677      0.979000      2.030416      0.442204 **    157.70   -114.31    4.925    3.388 **   30.000     6.819    -0.109     7.621   8.429 **    -9.786   -15.906    -8.836   9.411
      0.488449      0.046245      0.250000      0.094677      0.980000      2.030416      0.442204 **    157.97   -115.29    4.957    3.410 **   30.000     6.871    -0.303     7.633   8.157 **    -9.783   -15.965    -8.846   9.331
      0.488449      0.046245      0.250000      0.094677      0.981000      2.030416      0.442204 **    158.15   -116.34    4.990    3.433 **   30.000     6.926    -0.513     7.646   7.876 **    -9.781   -16.029    -8.856   9.246
      0.488449      0.046245      0.250000      0.094677      0.982000      2.030416      0.442204 **    158.22   -117.48    5.026    3.457 **   31.000     6.983    -0.791     7.654   7.538 **    -9.779   -16.098    -8.868   9.156
      0.488449      0.046245      0.250000      0.094677      0.983000      2.030416      0.442204 **    158.16   -118.69    5.063    3.483 **   31.000     7.044    -1.040     7.672   7.241 **    -9.779   -16.173    -8.882   9.061
      0.488449      0.046245      0.250000      0.094677      0.984000      2.030416      0.442204 **    157.96   -119.97    5.102    3.511 **   31.000     7.108    -1.314     7.691   6.935 **    -9.779   -16.255    -8.897   8.961
      0.488449      0.046245      0.250000      0.094677      0.985000      2.030416      0.442204 **    157.60   -121.32    5.143    3.540 **   31.000     7.174    -1.614     7.714   6.619 **    -9.780   -16.344    -8.914   8.854
