 [antenna_pattern.dat]

  É” = 0.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
    15.000  -20.5145   -2.4465   -2.3451   -4.5203
    16.000  -20.2477   -2.1010   -2.0109   -4.1592
    17.000  -19.9973   -1.7883   -1.7085   -3.8324
    18.000  -19.7636   -1.5063   -1.4357   -3.5372
    19.000  -19.5470   -1.2530   -1.1908   -3.2716
    20.000  -19.3474   -1.0265   -0.9720   -3.0338
    21.000  -19.1647   -0.8255   -0.7782   -2.8220
    22.000  -18.9989   -0.6487   -0.6080   -2.6351
    23.000  -18.8497   -0.4950   -0.4604   -2.4717
    24.000  -18.7170   -0.3634   -0.3346   -2.3309
    25.000  -18.6004   -0.2531   -0.2298   -2.2118
    26.000  -18.4996   -0.1634   -0.1452   -2.1136
    27.000  -18.4145   -0.0938   -0.0805   -2.0357
    28.000  -18.3447   -0.0436   -0.0349   -1.9775
    29.000  -18.2899   -0.0125   -0.0082   -1.9386
    30.000  -18.2500    0.0000    0.0000   -1.9185
    31.000  -18.2245   -0.0059   -0.0100   -1.9168
    32.000  -18.2133   -0.0299   -0.0379   -1.9334
    33.000  -18.2162   -0.0718   -0.0836   -1.9679
    34.000  -18.2328   -0.1314   -0.1469   -2.0203
    35.000  -18.2631   -0.2088   -0.2278   -2.0903
    36.000  -18.3067   -0.3038   -0.3263   -2.1780
    37.000  -18.3635   -0.4165   -0.4423   -2.2833
    38.000  -18.4332   -0.5469   -0.5760   -2.4063
    39.000  -18.5157   -0.6951   -0.7275   -2.5469
    40.000  -18.6109   -0.8614   -0.8969   -2.7054
    41.000  -18.7185   -1.0458   -1.0845   -2.8819
    42.000  -18.8384   -1.2488   -1.2906   -3.0766
    43.000  -18.9705   -1.4705   -1.5154   -3.2898
    44.000  -19.1146   -1.7114   -1.7595   -3.5217
    45.000  -19.2706   -1.9720   -2.0232   -3.7727
    46.000  -19.4383   -2.2527   -2.3072   -4.0433
    47.000  -19.6178   -2.5541   -2.6121   -4.3338
    48.000  -19.8087   -2.8769   -2.9386   -4.6449
    49.000  -20.0112   -3.2219   -3.2875   -4.9769
    50.000  -20.2250   -3.5899   -3.6598   -5.3305
    51.000  -20.4502   -3.9819   -4.0566   -5.7064
    52.000  -20.6866   -4.3988   -4.4791   -6.1052
    53.000  -20.9343   -4.8418   -4.9287   -6.5275
    54.000  -21.1932   -5.3123   -5.4071   -6.9740
    55.000  -21.4634   -5.8115   -5.9159   -7.4451
    56.000  -21.7449   -6.3410   -6.4573   -7.9415
    57.000  -22.0378   -6.9022   -7.0335   -8.4631
    58.000  -22.3421   -7.4966   -7.6471   -9.0099
    59.000  -22.6581   -8.1258   -8.3011   -9.5810
    60.000  -22.9858   -8.7907   -8.9987  -10.1748
    61.000  -23.3257   -9.4919   -9.7432  -10.7885
    62.000  -23.6779  -10.2289  -10.5382  -11.4173
    63.000  -24.0429  -10.9993  -11.3869  -12.0539
    64.000  -24.4212  -11.7979  -12.2917  -12.6881
    65.000  -24.8133  -12.6145  -13.2527  -13.3053
    66.000  -25.2200  -13.4320  -14.2654  -13.8868
    67.000  -25.6421  -14.2235  -15.3166  -14.4099
    68.000  -26.0806  -14.9505  -16.3770  -14.8499
    69.000  -26.5368  -15.5645  -17.3920  -15.1840
    70.000  -27.0121  -16.0142  -18.2740  -15.3959
    71.000  -27.5082  -16.2607  -18.9103  -15.4802
    72.000  -28.0272  -16.2920  -19.2024  -15.4441
    73.000  -28.5716  -16.1293  -19.1229  -15.3050
    74.000  -29.1445  -15.8170  -18.7346  -15.0866
    75.000  -29.7496  -15.4071  -18.1488  -14.8139
    76.000  -30.0000  -14.9463  -17.4710  -14.5097
    77.000  -30.0000  -14.4700  -16.7752  -14.1928
    78.000  -30.0000  -14.0026  -16.1048  -13.8775
    79.000  -30.0000  -13.5594  -15.4816  -13.5745
    80.000  -30.0000  -13.1492  -14.9150  -13.2912
    81.000  -30.0000  -12.7770  -14.4076  -13.0327
    82.000  -30.0000  -12.4451  -13.9584  -12.8023
    83.000  -30.0000  -12.1540  -13.5652  -12.6024
    84.000  -30.0000  -11.9037  -13.2249  -12.4344
    85.000  -30.0000  -11.6936  -12.9344  -12.2993
    86.000  -30.0000  -11.5231  -12.6910  -12.1979
    87.000  -30.0000  -11.3913  -12.4920  -12.1307
    88.000  -30.0000  -11.2977  -12.3354  -12.0985
    89.000  -30.0000  -11.2417  -12.2191  -12.1018
